,Measurement_date,Cohort,Spawning_date,Growout_Rack,Growout_Column,Growout_Trough,Length,Mass,Gonad Score,Predicted Sex,Notes
111,3/12/18,SF16-9C,3/2/16,3,A,4,18.9,1.01,0,,
112,3/12/18,SF16-9C,3/2/16,3,A,4,36.4,5.72,1,F,
113,3/12/18,SF16-9C,3/2/16,3,A,4,30.0,3.63,0,,
114,3/12/18,SF16-9C,3/2/16,3,A,4,16.5,0.70,0,,
115,3/12/18,SF16-9C,3/2/16,3,A,4,21.5,1.41,0,,
116,3/12/18,SF16-9C,3/2/16,3,A,4,48.4,17.34,2,F,
117,3/12/18,SF16-9C,3/2/16,3,A,4,46.5,12.46,2,F,
118,3/12/18,SF16-9C,3/2/16,3,A,4,33.9,5.40,0,,
119,3/12/18,SF16-9C,3/2/16,3,A,4,15.5,0.68,0,,
120,3/12/18,SF16-9C,3/2/16,3,A,4,39.7,9.10,2,F,
121,3/12/18,SF16-9C,3/2/16,3,A,4,36.7,6.71,1,F,
122,3/12/18,SF16-9C,3/2/16,3,A,4,52.0,19.95,2,F,
123,3/12/18,SF16-9C,3/2/16,3,A,4,30.0,3.90,0,,
124,3/12/18,SF16-9C,3/2/16,3,A,4,11.5,0.26,0,,
125,3/12/18,SF16-9C,3/2/16,3,A,4,36.5,7.24,1,M,
126,3/12/18,SF16-9C,3/2/16,3,A,4,23.1,1.58,0,,
127,3/12/18,SF16-9C,3/2/16,3,A,4,17.7,0.76,0,,
128,3/12/18,SF16-9C,3/2/16,3,A,4,13.3,0.48,0,,
129,3/12/18,SF16-9C,3/2/16,3,A,4,51.0,18.72,1,F,
130,3/12/18,SF16-9C,3/2/16,3,A,4,27.5,2.78,0,,
131,3/12/18,SF16-9C,3/2/16,3,A,4,30.9,4.22,1,M,
132,3/12/18,SF16-9C,3/2/16,3,A,4,20.0,1.12,0,,
133,3/12/18,SF16-9C,3/2/16,3,A,4,34.0,5.08,0,,
134,3/12/18,SF16-9C,3/2/16,3,A,4,33.4,5.15,1,M,
135,3/12/18,SF16-9C,3/2/16,3,A,4,22.5,1.60,0,,
136,3/12/18,SF16-9C,3/2/16,3,A,4,39.5,9.67,2,M,
137,3/12/18,SF16-9C,3/2/16,3,A,4,18.3,0.93,0,,
138,3/12/18,SF16-9C,3/2/16,3,A,4,40.0,8.25,1,M,
139,3/12/18,SF16-9C,3/2/16,3,A,4,11.2,0.24,0,,
140,3/12/18,SF16-9C,3/2/16,3,A,4,17.4,0.75,0,,
141,3/12/18,SF16-9C,3/2/16,3,A,4,27.2,3.05,0,,
142,3/12/18,SF16-9C,3/2/16,3,A,4,31.0,4.38,0,,
143,3/12/18,SF16-9C,3/2/16,3,A,4,22.5,1.45,0,,
144,3/12/18,SF16-9C,3/2/16,3,A,4,18.1,0.90,0,,
145,3/12/18,SF16-9C,3/2/16,3,A,4,23.0,1.78,0,,
146,3/12/18,SF16-9C,3/2/16,3,A,4,24.4,1.87,0,,
147,3/12/18,SF16-9C,3/2/16,3,A,4,30.1,3.72,0,,
148,3/12/18,SF16-9C,3/2/16,3,A,4,14.0,0.46,0,,
149,3/12/18,SF16-9C,3/2/16,3,A,4,18.3,0.85,0,,
150,3/12/18,SF16-9C,3/2/16,3,A,4,18.1,0.81,0,,
151,3/12/18,SF16-9D,3/2/16,3,B,2,52.3,17.85,0,,
152,3/12/18,SF16-9D,3/2/16,3,B,2,42.0,9.74,0,,
153,3/12/18,SF16-9D,3/2/16,3,B,2,37.9,7.59,0,,
154,3/12/18,SF16-9D,3/2/16,3,B,2,61.5,30.70,1,F,
155,3/12/18,SF16-9D,3/2/16,3,B,2,48.2,15.46,1,F,
156,3/12/18,SF16-9D,3/2/16,3,B,2,36.1,6.64,0,,
157,3/12/18,SF16-9D,3/2/16,3,B,2,47.2,12.28,0,,
158,3/12/18,SF16-9D,3/2/16,3,B,2,35.0,6.27,0,,
159,3/12/18,SF16-9D,3/2/16,3,B,2,38.9,8.39,1,F,
160,3/12/18,SF16-9D,3/2/16,3,B,2,48.5,15.74,0,,
161,3/12/18,SF16-9D,3/2/16,3,B,2,11.8,0.25,0,,
162,3/12/18,SF16-9D,3/2/16,3,B,2,29.4,3.52,0,,
163,3/12/18,SF16-9D,3/2/16,3,B,2,30.0,3.77,0,,
164,3/12/18,SF16-9D,3/2/16,3,B,2,36.9,6.42,0,,
165,3/12/18,SF16-9D,3/2/16,3,B,2,13.8,0.39,0,,
166,3/12/18,SF16-9D,3/2/16,3,B,2,19.1,1.13,0,,
167,3/12/18,SF16-9D,3/2/16,3,B,2,40.1,8.73,0,,
168,3/12/18,SF16-9D,3/2/16,3,B,2,33.9,5.20,0,,
169,3/12/18,SF16-9D,3/2/16,3,B,2,45.3,10.46,1,F,
170,3/12/18,SF16-9D,3/2/16,3,B,2,53.0,18.88,2,M,
171,3/12/18,SF16-9D,3/2/16,3,B,2,35.5,6.10,1,F,
172,3/12/18,SF16-9D,3/2/16,3,B,2,43.3,11.46,1,M,
173,3/12/18,SF16-9D,3/2/16,3,B,2,19.3,1.10,0,,
174,3/12/18,SF16-9D,3/2/16,3,B,2,15.9,0.70,0,,
175,3/12/18,SF16-9D,3/2/16,3,B,2,34.5,5.35,0,,
176,3/12/18,SF16-9D,3/2/16,3,B,3,30.1,3.99,0,,
177,3/12/18,SF16-9D,3/2/16,3,B,3,13.2,0.37,0,,
178,3/12/18,SF16-9D,3/2/16,3,B,3,14.5,0.48,0,,
179,3/12/18,SF16-9D,3/2/16,3,B,3,13.0,0.40,0,,
180,3/12/18,SF16-9D,3/2/16,3,B,3,21.2,1.41,0,,
181,3/12/18,SF16-9D,3/2/16,3,B,3,10.5,0.37,0,,
182,3/12/18,SF16-9D,3/2/16,3,B,3,10.7,0.37,0,,
183,3/12/18,SF16-9D,3/2/16,3,B,3,20.1,1.19,0,,
184,3/12/18,SF16-9D,3/2/16,3,B,3,14.1,0.50,0,,
185,3/12/18,SF16-9D,3/2/16,3,B,3,7.0,0.07,0,,
186,3/12/18,SF16-9D,3/2/16,3,B,3,11.9,0.28,0,,
187,3/12/18,SF16-9D,3/2/16,3,B,3,26.5,2.50,0,,
188,3/12/18,SF16-9D,3/2/16,3,B,3,18.9,0.99,0,,
189,3/12/18,SF16-9D,3/2/16,3,B,3,26.4,2.67,0,,
190,3/12/18,SF16-9D,3/2/16,3,B,3,51.6,18.35,1,M,
191,3/12/18,SF16-9D,3/2/16,3,B,3,25.2,2.33,0,,
192,3/12/18,SF16-9D,3/2/16,3,B,3,32.0,5.11,0,,
193,3/12/18,SF16-9D,3/2/16,3,B,3,30.0,3.79,0,,
194,3/12/18,SF16-9D,3/2/16,3,B,3,40.4,8.98,1,F,
195,3/12/18,SF16-9D,3/2/16,3,B,3,35.5,5.83,0,,
196,3/12/18,SF16-9D,3/2/16,3,B,3,7.3,0.25,0,,
197,3/12/18,SF16-9D,3/2/16,3,B,3,19.9,1.18,0,,
198,3/12/18,SF16-9D,3/2/16,3,B,3,26.7,2.89,0,,
199,3/12/18,SF16-9D,3/2/16,3,B,3,20.1,1.26,0,,
200,3/12/18,SF16-9D,3/2/16,3,B,3,22.5,1.64,0,,
201,3/12/18,SF16-9E,3/2/16,3,B,4,42.8,12.30,2,M,
202,3/12/18,SF16-9E,3/2/16,3,B,4,26.9,2.88,0,,
203,3/12/18,SF16-9E,3/2/16,3,B,4,13.9,0.53,0,,
204,3/12/18,SF16-9E,3/2/16,3,B,4,20.0,1.18,0,,
205,3/12/18,SF16-9E,3/2/16,3,B,4,13.5,0.34,0,,
206,3/12/18,SF16-9E,3/2/16,3,B,4,24.8,2.07,0,,
207,3/12/18,SF16-9E,3/2/16,3,B,4,11.4,0.18,0,,
208,3/12/18,SF16-9E,3/2/16,3,B,4,9.1,0.15,0,,
209,3/12/18,SF16-9E,3/2/16,3,B,4,8.4,0.11,0,,
210,3/12/18,SF16-9E,3/2/16,3,B,4,31.2,4.13,0,,
211,3/12/18,SF16-9E,3/2/16,3,B,4,32.8,5.68,0,,
212,3/12/18,SF16-9E,3/2/16,3,B,4,12.2,0.33,0,,
213,3/12/18,SF16-9E,3/2/16,3,B,4,12.0,0.30,0,,
214,3/12/18,SF16-9E,3/2/16,3,B,4,15.0,0.48,0,,
215,3/12/18,SF16-9E,3/2/16,3,B,4,23.0,1.71,0,,
216,3/12/18,SF16-9E,3/2/16,3,B,4,16.8,0.74,0,,
217,3/12/18,SF16-9E,3/2/16,3,B,4,32.5,4.88,0,,
218,3/12/18,SF16-9E,3/2/16,3,B,4,31.5,5.03,0,,
219,3/12/18,SF16-9E,3/2/16,3,B,4,30.2,3.80,0,,
220,3/12/18,SF16-9E,3/2/16,3,B,4,24.2,2.02,0,,
221,3/12/18,SF16-9E,3/2/16,3,B,4,32.1,5.06,0,,
222,3/12/18,SF16-9E,3/2/16,3,B,4,23.0,1.59,0,,
223,3/12/18,SF16-9E,3/2/16,3,B,4,26.1,2.65,0,,
224,3/12/18,SF16-9E,3/2/16,3,B,4,14.8,0.57,0,,
225,3/12/18,SF16-9E,3/2/16,3,B,4,19.8,1.24,0,,
226,3/12/18,SF16-9E,3/2/16,3,B,4,20.7,1.26,0,,
227,3/12/18,SF16-9E,3/2/16,3,B,4,22.8,1.57,0,,
228,3/12/18,SF16-9E,3/2/16,3,B,4,14.3,0.50,0,,
229,3/12/18,SF16-9E,3/2/16,3,B,4,15.8,0.57,0,,
230,3/12/18,SF16-9E,3/2/16,3,B,4,33.8,5.30,0,,
231,3/12/18,SF16-9E,3/2/16,3,B,4,32.0,4.75,0,,
232,3/12/18,SF16-9E,3/2/16,3,B,4,24.0,1.96,0,,
233,3/12/18,SF16-9E,3/2/16,3,B,4,21.4,1.37,0,,
234,3/12/18,SF16-9E,3/2/16,3,B,4,21.5,1.38,0,,
235,3/12/18,SF16-9E,3/2/16,3,B,4,10.4,0.18,0,,
236,3/12/18,SF16-9E,3/2/16,3,B,4,13.5,0.36,0,,
237,3/12/18,SF16-9E,3/2/16,3,B,4,18.9,0.97,0,,
238,3/12/18,SF16-9E,3/2/16,3,B,4,28.6,3.44,0,,
239,3/12/18,SF16-9E,3/2/16,3,B,4,13.4,0.35,0,,
240,3/12/18,SF16-9E,3/2/16,3,B,4,13.5,0.38,0,,
241,3/12/18,SF16-9E,3/2/16,3,B,4,17.9,0.86,0,,
242,3/12/18,SF16-9E,3/2/16,3,B,4,13.0,0.42,0,,
243,3/12/18,SF16-9E,3/2/16,3,B,4,36.6,6.90,0,,
244,3/12/18,SF16-9E,3/2/16,3,B,4,15.0,0.44,0,,
245,3/12/18,SF16-9E,3/2/16,3,B,4,11.9,0.20,0,,
246,3/12/18,SF16-9E,3/2/16,3,B,4,9.6,0.16,0,,
247,3/12/18,SF16-9E,3/2/16,3,B,4,16.6,0.82,0,,
248,3/12/18,SF16-9E,3/2/16,3,B,4,21.4,1.49,0,,
249,3/12/18,SF16-9E,3/2/16,3,B,4,36.1,6.98,0,,
250,3/12/18,SF16-9E,3/2/16,3,B,4,24.8,2.14,0,,
