,Measurement_date,Cohort,Spawning_date,Growout_Rack,Growout_Column,Growout_Trough,Length,Mass,Gonad Score,Predicted Sex,Notes
1,3/12/18,SF16-9A,3/2/16,3,A,1,13.0,0.35,0,,
2,3/12/18,SF16-9A,3/2/16,3,A,1,54.2,19.80,1,M,
3,3/12/18,SF16-9A,3/2/16,3,A,1,10.3,0.18,0,,
4,3/12/18,SF16-9A,3/2/16,3,A,1,38.8,7.51,1,M,
5,3/12/18,SF16-9A,3/2/16,3,A,1,31.5,4.19,0,,
6,3/12/18,SF16-9A,3/2/16,3,A,1,63.6,29.86,1,F,
7,3/12/18,SF16-9A,3/2/16,3,A,1,52.0,19.02,1,F,
8,3/12/18,SF16-9A,3/2/16,3,A,1,14.7,0.46,0,,
9,3/12/18,SF16-9A,3/2/16,3,A,1,8.9,0.36,0,,
10,3/12/18,SF16-9A,3/2/16,3,A,1,7.6,0.18,0,,
11,3/12/18,SF16-9A,3/2/16,3,A,1,41.7,9.94,0,,
12,3/12/18,SF16-9A,3/2/16,3,A,1,19.0,1.00,0,,
13,3/12/18,SF16-9A,3/2/16,3,A,1,7.8,0.10,0,,
14,3/12/18,SF16-9A,3/2/16,3,A,1,14.9,0.45,0,,
15,3/12/18,SF16-9A,3/2/16,3,A,1,10.8,0.22,0,,
16,3/12/18,SF16-9A,3/2/16,3,A,1,23.9,2.27,0,,
17,3/12/18,SF16-9A,3/2/16,3,A,1,22.7,1.84,0,,
18,3/12/18,SF16-9A,3/2/16,3,A,1,46.5,12.93,0,,
19,3/12/18,SF16-9A,3/2/16,3,A,1,26.8,2.64,0,,
20,3/12/18,SF16-9A,3/2/16,3,A,1,5.2,0.03,0,,
21,3/12/18,SF16-9A,3/2/16,3,A,1,34.5,5.39,0,,
22,3/12/18,SF16-9A,3/2/16,3,A,1,53.8,18.86,1,F,
23,3/12/18,SF16-9A,3/2/16,3,A,1,35.8,5.64,0,,
24,3/12/18,SF16-9A,3/2/16,3,A,1,32.2,4.87,0,,
25,3/12/18,SF16-9A,3/2/16,3,A,1,6.6,0.09,0,,
26,3/12/18,SF16-9A,3/2/16,3,A,2,35.3,5.19,0,,
27,3/12/18,SF16-9A,3/2/16,3,A,2,40.4,8.86,2,M,
28,3/12/18,SF16-9A,3/2/16,3,A,2,9.5,0.15,0,,
29,3/12/18,SF16-9A,3/2/16,3,A,2,48.1,15.97,2,F,
30,3/12/18,SF16-9A,3/2/16,3,A,2,18.8,0.87,0,,
31,3/12/18,SF16-9A,3/2/16,3,A,2,16.5,0.67,0,,
32,3/12/18,SF16-9A,3/2/16,3,A,2,16.5,0.62,0,,
33,3/12/18,SF16-9A,3/2/16,3,A,2,43.0,11.51,2,M,
34,3/12/18,SF16-9A,3/2/16,3,A,2,34.8,6.01,1,M,
35,3/12/18,SF16-9A,3/2/16,3,A,2,12.3,0.30,0,,
36,3/12/18,SF16-9A,3/2/16,3,A,2,30.5,3.84,1,F,
37,3/12/18,SF16-9A,3/2/16,3,A,2,37.3,7.49,1,M,
38,3/12/18,SF16-9A,3/2/16,3,A,2,31.2,4.38,1,M,
39,3/12/18,SF16-9A,3/2/16,3,A,2,43.9,12.29,0,,
40,3/12/18,SF16-9A,3/2/16,3,A,2,14.0,0.44,0,,
41,3/12/18,SF16-9A,3/2/16,3,A,2,24.5,2.07,0,,
42,3/12/18,SF16-9A,3/2/16,3,A,2,16.0,0.58,0,,
43,3/12/18,SF16-9A,3/2/16,3,A,2,10.7,0.17,0,,
44,3/12/18,SF16-9A,3/2/16,3,A,2,15.7,0.55,0,,
45,3/12/18,SF16-9A,3/2/16,3,A,2,20.5,1.22,0,,
46,3/12/18,SF16-9A,3/2/16,3,A,2,31.4,3.89,0,,
47,3/12/18,SF16-9A,3/2/16,3,A,2,39.0,7.71,1,M,
48,3/12/18,SF16-9A,3/2/16,3,A,2,42.5,10.16,1,M,
49,3/12/18,SF16-9A,3/2/16,3,A,2,16.7,0.68,0,,
50,3/12/18,SF16-9A,3/2/16,3,A,2,14.0,0.44,0,,
51,3/12/18,SF16-9B,3/2/16,3,A,3,54.0,22.40,2,M,
52,3/12/18,SF16-9B,3/2/16,3,A,3,35.5,6.39,1,F,
53,3/12/18,SF16-9B,3/2/16,3,A,3,41.0,9.91,0,,
54,3/12/18,SF16-9B,3/2/16,3,A,3,14.2,0.45,0,,
55,3/12/18,SF16-9B,3/2/16,3,A,3,14.3,0.47,0,,
56,3/12/18,SF16-9B,3/2/16,3,A,3,8.1,0.12,0,,
57,3/12/18,SF16-9B,3/2/16,3,A,3,9.6,0.02,0,,
58,3/12/18,SF16-9B,3/2/16,3,A,3,10.0,0.32,0,,
59,3/12/18,SF16-9B,3/2/16,3,A,3,10.9,0.42,0,,
60,3/12/18,SF16-9B,3/2/16,3,A,3,28.0,3.25,0,,
61,3/12/18,SF16-9B,3/2/16,3,A,3,12.3,0.36,0,,
62,3/12/18,SF16-9B,3/2/16,3,A,3,8.9,0.24,0,,
63,3/12/18,SF16-9B,3/2/16,3,A,3,10.5,0.27,0,,
64,3/12/18,SF16-9B,3/2/16,3,A,3,36.8,7.24,0,,
65,3/12/18,SF16-9B,3/2/16,3,A,3,24.1,2.32,0,,
66,3/12/18,SF16-9B,3/2/16,3,A,3,32.0,4.86,0,,
67,3/12/18,SF16-9B,3/2/16,3,A,3,15.0,0.62,0,,
68,3/12/18,SF16-9B,3/2/16,3,A,3,23.0,1.92,0,,
69,3/12/18,SF16-9B,3/2/16,3,A,3,29.6,3.35,0,,
70,3/12/18,SF16-9B,3/2/16,3,A,3,38.4,7.59,0,,
71,3/12/18,SF16-9B,3/2/16,3,A,3,48.2,15.91,2,M,
72,3/12/18,SF16-9B,3/2/16,3,A,3,12.3,0.43,0,,
73,3/12/18,SF16-9B,3/2/16,3,A,3,11.9,0.28,0,,
74,3/12/18,SF16-9B,3/2/16,3,A,3,19.2,1.11,0,,
75,3/12/18,SF16-9B,3/2/16,3,A,3,31.2,4.33,0,,
76,3/12/18,SF16-9B,3/2/16,3,A,3,16.0,0.68,0,,
77,3/12/18,SF16-9B,3/2/16,3,A,3,16.6,0.73,0,,
78,3/12/18,SF16-9B,3/2/16,3,A,3,19.0,1.03,0,,
79,3/12/18,SF16-9B,3/2/16,3,A,3,39.6,9.21,1,F,
80,3/12/18,SF16-9B,3/2/16,3,A,3,23.9,2.04,0,,
81,3/12/18,SF16-9B,3/2/16,3,A,3,43.6,11.64,1,F,
82,3/12/18,SF16-9B,3/2/16,3,A,3,9.3,0.12,0,,
83,3/12/18,SF16-9B,3/2/16,3,A,3,29.2,3.48,0,,
84,3/12/18,SF16-9B,3/2/16,3,A,3,25.6,2.47,0,,
85,3/12/18,SF16-9B,3/2/16,3,A,3,24.9,2.21,0,,
86,3/12/18,SF16-9B,3/2/16,3,A,3,25.0,2.33,0,,
87,3/12/18,SF16-9B,3/2/16,3,A,3,20.0,1.12,0,,
88,3/12/18,SF16-9B,3/2/16,3,A,3,12.9,0.39,0,,
89,3/12/18,SF16-9B,3/2/16,3,A,3,29.2,3.61,0,,
90,3/12/18,SF16-9B,3/2/16,3,A,3,12.5,0.31,0,,
91,3/12/18,SF16-9B,3/2/16,3,A,3,42.0,9.40,1,F,
92,3/12/18,SF16-9B,3/2/16,3,A,3,49.4,17.21,2,M,
93,3/12/18,SF16-9B,3/2/16,3,A,3,24.2,2.16,0,,
94,3/12/18,SF16-9B,3/2/16,3,A,3,14.6,0.47,0,,
95,3/12/18,SF16-9B,3/2/16,3,A,3,8.0,0.14,0,,
96,3/12/18,SF16-9B,3/2/16,3,A,3,8.4,0.12,0,,
97,3/12/18,SF16-9B,3/2/16,3,A,3,12.6,0.35,0,,
98,3/12/18,SF16-9B,3/2/16,3,A,3,9.7,0.17,0,,
99,3/12/18,SF16-9B,3/2/16,3,A,3,18.9,1.14,0,,
100,3/12/18,SF16-9B,3/2/16,3,A,3,28.2,3.29,0,,
101,3/12/18,SF16-9C,3/2/16,3,A,4,44.5,11.76,1,F,
102,3/12/18,SF16-9C,3/2/16,3,A,4,35.6,5.82,0,,
103,3/12/18,SF16-9C,3/2/16,3,A,4,26.8,2.81,0,,
104,3/12/18,SF16-9C,3/2/16,3,A,4,31.2,3.59,0,,
105,3/12/18,SF16-9C,3/2/16,3,A,4,12.0,0.36,0,,
106,3/12/18,SF16-9C,3/2/16,3,A,4,25.0,2.16,0,,
107,3/12/18,SF16-9C,3/2/16,3,A,4,25.0,2.24,0,,
108,3/12/18,SF16-9C,3/2/16,3,A,4,47.7,14.46,1,M,
109,3/12/18,SF16-9C,3/2/16,3,A,4,23.5,1.69,0,,
110,3/12/18,SF16-9C,3/2/16,3,A,4,21.6,1.50,0,,
