Measurement_date,Cohort,Spawning_date,Growout_Rack,Growout_Column,Growout_Trough,Length,Mass,Gonad Score,Predicted Sex,Notes
12/12/18,SF16-9A,3/2/16,3,A,1,29.3,0.35,0,,
12/12/18,SF16-9A,3/2/16,3,A,1,65.6,19.80,1,M,
12/12/18,SF16-9A,3/2/16,3,A,1,22.2,0.18,0,,
12/12/18,SF16-9A,3/2/16,3,A,1,57.4,7.51,1,M,
12/12/18,SF16-9A,3/2/16,3,A,1,66.8,4.19,0,,
12/12/18,SF16-9A,3/2/16,3,A,1,106.1,29.86,1,F,
12/12/18,SF16-9A,3/2/16,3,A,1,103.8,19.02,1,F,
12/12/18,SF16-9A,3/2/16,3,A,1,29.1,0.46,0,,
12/12/18,SF16-9A,3/2/16,3,A,1,18.1,0.36,0,,
12/12/18,SF16-9A,3/2/16,3,A,1,12.9,0.18,0,,
12/12/18,SF16-9A,3/2/16,3,A,1,81.0,9.94,0,,
12/12/18,SF16-9A,3/2/16,3,A,1,30.2,1.00,0,,
12/12/18,SF16-9A,3/2/16,3,A,1,12.6,0.10,0,,
12/12/18,SF16-9A,3/2/16,3,A,1,36.0,0.45,0,,
12/12/18,SF16-9A,3/2/16,3,A,1,15.1,0.22,0,,
12/12/18,SF16-9A,3/2/16,3,A,1,35.8,2.27,0,,
12/12/18,SF16-9A,3/2/16,3,A,1,42.8,1.84,0,,
12/12/18,SF16-9A,3/2/16,3,A,1,100.4,12.93,0,,
12/12/18,SF16-9A,3/2/16,3,A,1,62.4,2.64,0,,
12/12/18,SF16-9A,3/2/16,3,A,1,9.9,0.03,0,,
12/12/18,SF16-9A,3/2/16,3,A,1,77.6,5.39,0,,
12/12/18,SF16-9A,3/2/16,3,A,1,130.3,18.86,1,F,
12/12/18,SF16-9A,3/2/16,3,A,1,49.7,5.64,0,,
12/12/18,SF16-9A,3/2/16,3,A,1,76.5,4.87,0,,
12/12/18,SF16-9A,3/2/16,3,A,1,10.4,0.09,0,,
12/12/18,SF16-9A,3/2/16,3,A,2,72.5,5.19,0,,
12/12/18,SF16-9A,3/2/16,3,A,2,77.3,8.86,2,M,
12/12/18,SF16-9A,3/2/16,3,A,2,14.2,0.15,0,,
12/12/18,SF16-9A,3/2/16,3,A,2,76.3,15.97,2,F,
12/12/18,SF16-9A,3/2/16,3,A,2,44.6,0.87,0,,
12/12/18,SF16-9A,3/2/16,3,A,2,23.5,0.67,0,,
12/12/18,SF16-9A,3/2/16,3,A,2,30.4,0.62,0,,
12/12/18,SF16-9A,3/2/16,3,A,2,56.1,11.51,2,M,
12/12/18,SF16-9A,3/2/16,3,A,2,62.2,6.01,1,M,
12/12/18,SF16-9A,3/2/16,3,A,2,23.4,0.30,0,,
12/12/18,SF16-9A,3/2/16,3,A,2,50.6,3.84,1,F,
12/12/18,SF16-9A,3/2/16,3,A,2,61.6,7.49,1,M,
12/12/18,SF16-9A,3/2/16,3,A,2,63.2,4.38,1,M,
12/12/18,SF16-9A,3/2/16,3,A,2,56.6,12.29,0,,
12/12/18,SF16-9A,3/2/16,3,A,2,28.9,0.44,0,,
12/12/18,SF16-9A,3/2/16,3,A,2,31.1,2.07,0,,
12/12/18,SF16-9A,3/2/16,3,A,2,31.6,0.58,0,,
12/12/18,SF16-9A,3/2/16,3,A,2,17.1,0.17,0,,
12/12/18,SF16-9A,3/2/16,3,A,2,27.9,0.55,0,,
12/12/18,SF16-9A,3/2/16,3,A,2,40.8,1.22,0,,
12/12/18,SF16-9A,3/2/16,3,A,2,52.8,3.89,0,,
12/12/18,SF16-9A,3/2/16,3,A,2,78.9,7.71,1,M,
12/12/18,SF16-9A,3/2/16,3,A,2,82.1,10.16,1,M,
12/12/18,SF16-9A,3/2/16,3,A,2,31.2,0.68,0,,
12/12/18,SF16-9A,3/2/16,3,A,2,22.3,0.44,0,,
12/12/18,SF16-9B,3/2/16,3,A,3,141.8,22.40,2,M,
12/12/18,SF16-9B,3/2/16,3,A,3,62.8,6.39,1,F,
12/12/18,SF16-9B,3/2/16,3,A,3,67.4,9.91,0,,
12/12/18,SF16-9B,3/2/16,3,A,3,23.4,0.45,0,,
12/12/18,SF16-9B,3/2/16,3,A,3,26.2,0.47,0,,
12/12/18,SF16-9B,3/2/16,3,A,3,10.5,0.12,0,,
