Measurement_date,Cohort,Spawning_date,Growout_Rack,Growout_Column,Growout_Trough,Length,Mass,Gonad Score,Predicted Sex,Notes
6/12/18,SF16-9A,3/2/16,3,A,1,14.3,0.35,0,,
6/12/18,SF16-9A,3/2/16,3,A,1,64.2,19.80,1,M,
6/12/18,SF16-9A,3/2/16,3,A,1,11.7,0.18,0,,
6/12/18,SF16-9A,3/2/16,3,A,1,42.4,7.51,1,M,
6/12/18,SF16-9A,3/2/16,3,A,1,36.7,4.19,0,,
6/12/18,SF16-9A,3/2/16,3,A,1,79.7,29.86,1,F,
6/12/18,SF16-9A,3/2/16,3,A,1,56.8,19.02,1,F,
6/12/18,SF16-9A,3/2/16,3,A,1,16.8,0.46,0,,
6/12/18,SF16-9A,3/2/16,3,A,1,10.3,0.36,0,,
6/12/18,SF16-9A,3/2/16,3,A,1,9.4,0.18,0,,
6/12/18,SF16-9A,3/2/16,3,A,1,44.0,9.94,0,,
6/12/18,SF16-9A,3/2/16,3,A,1,24.4,1.00,0,,
6/12/18,SF16-9A,3/2/16,3,A,1,8.0,0.10,0,,
6/12/18,SF16-9A,3/2/16,3,A,1,17.3,0.45,0,,
6/12/18,SF16-9A,3/2/16,3,A,1,13.4,0.22,0,,
6/12/18,SF16-9A,3/2/16,3,A,1,27.0,2.27,0,,
6/12/18,SF16-9A,3/2/16,3,A,1,25.1,1.84,0,,
6/12/18,SF16-9A,3/2/16,3,A,1,46.8,12.93,0,,
6/12/18,SF16-9A,3/2/16,3,A,1,27.7,2.64,0,,
6/12/18,SF16-9A,3/2/16,3,A,1,6.2,0.03,0,,
6/12/18,SF16-9A,3/2/16,3,A,1,37.7,5.39,0,,
6/12/18,SF16-9A,3/2/16,3,A,1,56.9,18.86,1,F,
6/12/18,SF16-9A,3/2/16,3,A,1,45.8,5.64,0,,
6/12/18,SF16-9A,3/2/16,3,A,1,33.6,4.87,0,,
6/12/18,SF16-9A,3/2/16,3,A,1,6.9,0.09,0,,
6/12/18,SF16-9A,3/2/16,3,A,2,43.3,5.19,0,,
6/12/18,SF16-9A,3/2/16,3,A,2,42.8,8.86,2,M,
6/12/18,SF16-9A,3/2/16,3,A,2,10.9,0.15,0,,
6/12/18,SF16-9A,3/2/16,3,A,2,61.5,15.97,2,F,
6/12/18,SF16-9A,3/2/16,3,A,2,24.1,0.87,0,,
6/12/18,SF16-9A,3/2/16,3,A,2,18.4,0.67,0,,
6/12/18,SF16-9A,3/2/16,3,A,2,18.4,0.62,0,,
