Measurement_date,SHL_case_number,Spawning_date,Tag,From_Growout_Rack,From_Growout_Column,From_Growout_Trough,To_Growout_Rack,To_Growout_Column,To_Growout_Trough,Length,Gonad_Score,Predicted_Sex,Notes
9/17/18,SF16-9A,3/2/16,Lav_067,3,A,1,1,A,2,53.4,1,M,
9/17/18,SF16-9A,3/2/16,Lav_005,3,A,1,1,A,2,46.2,1,M,
9/17/18,SF16-9A,3/2/16,Lav_046,3,A,1,1,A,2,33.5,0,,
9/17/18,SF16-9A,3/2/16,Lav_083,3,A,1,1,A,2,50.6,1,M,
9/17/18,SF16-9A,3/2/16,Lav_081,3,A,1,1,A,2,53.9,1,M,
9/17/18,SF16-9A,3/2/16,Lav_024,3,A,1,1,A,2,49.6,1,M,
9/17/18,SF16-9A,3/2/16,Lav_040,3,A,1,1,A,2,52.3,1,F,
9/17/18,SF16-9A,3/2/16,Lav_097,3,A,1,1,A,2,52.0,1,M,
9/17/18,SF16-9A,3/2/16,Lav_008,3,A,1,1,A,2,35.7,0,,
9/17/18,SF16-9A,3/2/16,Lav_082,3,A,1,1,A,2,40.6,1,M,
9/17/18,SF16-9A,3/2/16,Lav_044,3,A,1,1,A,2,47.9,1,F,
9/17/18,SF16-9A,3/2/16,Lav_059,3,A,1,1,A,2,36.9,1,M,
9/17/18,SF16-9A,3/2/16,Lav_056,3,A,1,1,A,2,41.8,1,F,
9/17/18,SF16-9A,3/2/16,Lav_004,3,A,1,1,A,2,41.4,1,M,
9/17/18,SF16-9A,3/2/16,Lav_038,3,A,1,1,A,2,45.9,0,,
9/17/18,SF16-9A,3/2/16,Lav_021,3,A,1,1,A,2,54.6,1,F,
9/17/18,SF16-9A,3/2/16,Lav_094,3,A,1,1,A,2,30.5,0,,
9/17/18,SF16-9A,3/2/16,Lav_022,3,A,1,1,A,2,54.1,1,M,
9/17/18,SF16-9A,3/2/16,Lav_031,3,A,1,1,A,2,51.2,1,M,
9/17/18,SF16-9A,3/2/16,Lav_076,3,A,1,1,A,2,30.4,0,,
9/17/18,SF16-9A,3/2/16,Lav_074,3,A,1,1,A,2,28.9,0,,
9/17/18,SF16-9A,3/2/16,Lav_051,3,A,1,1,A,2,28.6,0,,
9/17/18,SF16-9A,3/2/16,Lav_025,3,A,1,1,A,2,67.4,1,F,
9/17/18,SF16-9A,3/2/16,Lav_028,3,A,1,1,A,2,44.9,1,M,
9/17/18,SF16-9A,3/2/16,Lav_057,3,A,1,1,A,2,44.2,1,M,
9/17/18,SF16-9A,3/2/16,Lav_029,3,A,1,1,A,2,49.1,1,F,
9/17/18,SF16-9A,3/2/16,Lav_078,3,A,1,1,A,2,38.1,1,F,
9/17/18,SF16-9A,3/2/16,Lav_052,3,A,1,1,A,2,50.7,1,M,
9/17/18,SF16-9A,3/2/16,Lav_060,3,A,1,1,A,2,38.7,1,F,
9/17/18,SF16-9A,3/2/16,Lav_066,3,A,1,1,A,2,44.0,1,M,
9/17/18,SF16-9A,3/2/16,Lav_023,3,A,1,1,A,2,60.4,0,,
9/17/18,SF16-9A,3/2/16,Lav_045,3,A,1,1,A,2,37.9,1,F,
9/17/18,SF16-9A,3/2/16,Lav_073,3,A,1,1,A,2,38.0,1,M,
9/17/18,SF16-9A,3/2/16,Lav_007,3,A,1,1,A,2,43.2,1,M,
9/17/18,SF16-9A,3/2/16,Lav_047,3,A,1,1,A,2,41.1,1,F,Foot cut on removal
9/17/18,SF16-9A,3/2/16,Lav_041,3,A,1,1,A,2,34.4,1,M,
9/17/18,SF16-9A,3/2/16,Lav_069,3,A,1,1,A,2,57.8,1,F,
9/17/18,SF16-9A,3/2/16,Lav_013,3,A,1,1,A,2,56.4,,,
9/17/18,SF16-9A,3/2/16,Lav_089,3,A,1,1,A,2,45.6,1,F,
9/17/18,SF16-9A,3/2/16,Lav_062,3,A,1,1,A,2,57.8,1,F,
9/17/18,SF16-9A,3/2/16,Lav_050,3,A,1,1,A,2,64.1,1,F,
9/17/18,SF16-9A,3/2/16,Lav_026,3,A,1,1,A,2,46.6,1,M,
9/17/18,SF16-9A,3/2/16,Lav_030,3,A,1,1,A,2,62.2,1,F,
9/17/18,SF16-9A,3/2/16,Lav_090,3,A,1,1,A,2,68.1,1,F,
9/17/18,SF16-9A,3/2/16,Lav_092,3,A,1,1,A,2,53.9,1,M,
9/17/18,SF16-9A,3/2/16,Lav_053,3,A,1,1,A,2,58.9,1,M,
9/17/18,SF16-9A,3/2/16,Lav_068,3,A,1,1,A,2,33.2,0,,
9/17/18,SF16-9A,3/2/16,Lav_000,3,A,1,1,A,2,29.7,0,,
9/17/18,SF16-9A,3/2/16,Lav_011,3,A,1,1,A,2,44.0,0,,
9/17/18,SF16-9A,3/2/16,Lav_084,3,A,2,1,A,2,48.7,1,M,
9/17/18,SF16-9A,3/2/16,Lav_098,3,A,2,1,A,2,36.0,0,,
9/17/18,SF16-9A,3/2/16,Lav_055,3,A,2,1,A,2,46.4,0,,
9/17/18,SF16-9A,3/2/16,Lav_071,3,A,2,1,A,2,47.5,1,M,
9/17/18,SF16-9A,3/2/16,Lav_015,3,A,2,1,A,2,43.9,1,M,
9/17/18,SF16-9A,3/2/16,Lav_086,3,A,2,1,A,2,51.4,1,F,
9/17/18,SF16-9A,3/2/16,Lav_061,3,A,2,1,A,2,53.1,1,M,
9/17/18,SF16-9A,3/2/16,Lav_096,3,A,2,1,A,2,31.0,0,,
9/17/18,SF16-9A,3/2/16,Lav_054,3,A,2,1,A,2,35.1,1,M,* I think this one was both male and female
9/17/18,SF16-9A,3/2/16,Lav_070,3,A,2,1,A,2,37.5,1,F,
9/17/18,SF16-9A,3/2/16,Lav_002,3,A,2,1,A,2,47.4,0,,
9/17/18,SF16-9A,3/2/16,Lav_077,3,A,2,1,A,2,57.9,1,M,
9/17/18,SF16-9A,3/2/16,Lav_079,3,A,2,1,A,2,34.4,0,,Cut on foot
9/17/18,SF16-9A,3/2/16,Lav_027,3,A,2,1,A,2,46.3,1,M,
9/17/18,SF16-9A,3/2/16,Lav_014,3,A,2,1,A,2,35.0,0,,
9/17/18,SF16-9A,3/2/16,Lav_039,3,A,2,1,A,2,36.1,0,,
9/17/18,SF16-9A,3/2/16,Lav_075,3,A,2,1,A,2,51.1,1,M,
9/17/18,SF16-9A,3/2/16,Lav_006,3,A,2,1,A,2,42.6,1,M,
9/17/18,SF16-9A,3/2/16,Lav_058,3,A,2,1,A,2,43.1,1,M,
9/17/18,SF16-9A,3/2/16,Lav_087,3,A,2,1,A,2,38.9,1,M,
9/17/18,SF16-9A,3/2/16,Lav_010,3,A,2,1,A,2,38.9,1,M,
9/17/18,SF16-9A,3/2/16,Lav_032,3,A,2,1,A,2,49.3,1,M,
9/17/18,SF16-9A,3/2/16,Lav_003,3,A,2,1,A,2,49.2,1,M,
9/17/18,SF16-9A,3/2/16,Lav_019,3,A,2,1,A,2,40.7,1,F,
9/17/18,SF16-9A,3/2/16,Lav_035,3,A,2,1,A,2,48.4,2,M,
9/17/18,SF16-9A,3/2/16,Lav_017,3,A,2,1,A,2,39.5,0,,
9/17/18,SF16-9A,3/2/16,Lav_018,3,A,2,1,A,2,41.1,1,M,
9/17/18,SF16-9A,3/2/16,Lav_020,3,A,2,1,A,2,39.4,0,,
9/17/18,SF16-9A,3/2/16,Lav_091,3,A,2,1,A,2,38.6,1,F,
9/17/18,SF16-9A,3/2/16,Lav_072,3,A,2,1,A,2,59.5,1,M,
9/17/18,SF16-9A,3/2/16,Lav_043,3,A,2,1,A,2,41.6,0,,
9/17/18,SF16-9A,3/2/16,Lav_095,3,A,2,1,A,2,46.0,1,F,
9/17/18,SF16-9A,3/2/16,Lav_048,3,A,2,1,A,2,52.3,1,M,
9/17/18,SF16-9A,3/2/16,Lav_009,3,A,2,1,A,2,27.3,0,,
9/17/18,SF16-9A,3/2/16,Lav_033,3,A,2,1,A,2,45.8,0,,
9/17/18,SF16-9A,3/2/16,Lav_085,3,A,2,1,A,2,35.5,0,,
9/17/18,SF16-9A,3/2/16,Lav_063,3,A,2,1,A,2,34.5,0,,
9/17/18,SF16-9A,3/2/16,Lav_034,3,A,2,1,A,2,42.8,1,F,
9/17/18,SF16-9A,3/2/16,Lav_042,3,A,2,1,A,2,58.0,2,M,
9/17/18,SF16-9A,3/2/16,Lav_001,3,A,2,1,A,2,53.2,1,M,
9/17/18,SF16-9A,3/2/16,Lav_065,3,A,2,1,A,2,39.5,0,,
9/17/18,SF16-9A,3/2/16,Lav_064,3,A,2,1,A,2,44.8,1,M,
9/18/18,SF16-9A,3/2/16,Lav_049,3,A,2,1,A,2,42.3,1,F,
9/18/18,SF16-9A,3/2/16,Lav_016,3,A,2,1,A,2,48.1,1,F,
9/18/18,SF16-9A,3/2/16,Lav_099,3,A,2,1,A,2,40.1,1,F,
9/18/18,SF16-9A,3/2/16,Lav_080,3,A,2,1,A,2,51.4,1,F,
9/18/18,SF16-9A,3/2/16,Lav_088,3,A,2,1,A,2,54.4,1,M,
9/18/18,SF16-9A,3/2/16,Lav_036,3,A,2,1,A,2,41.3,1,M,
9/18/18,SF16-9A,3/2/16,Lav_093,3,A,2,1,A,2,54.3,0,,
9/18/18,SF16-9A,3/2/16,Lav_012,3,A,2,1,A,2,56.1,1,M,
9/18/18,SF16-9A,3/2/16,Lav_037,3,A,2,1,A,2,54.3,1,F,
9/18/18,SF16-9B,3/2/16,Lav_101,3,A,3,1,A,2,62.8,1,F,
9/18/18,SF16-9B,3/2/16,Lav_135,3,A,3,1,A,2,44.3,1,M,
9/18/18,SF16-9B,3/2/16,Lav_196,3,A,3,1,A,2,56.3,1,M,
9/18/18,SF16-9B,3/2/16,Lav_127,3,A,3,1,A,2,46.6,0,,
9/18/18,SF16-9B,3/2/16,Lav_131,3,A,3,1,A,2,58.7,1,F,
9/18/18,SF16-9B,3/2/16,Lav_156,3,A,3,1,A,2,54.5,0,,
9/18/18,SF16-9B,3/2/16,Lav_182,3,A,3,1,A,2,43.7,1,M,"gut coming out of tissue, shrunken 1"
